Question ID,Question,Story#,Story,Match strength,Rationale
1,Tell me about a time when you faced a challenge and overcame it.,1,OLAF Scope,5,"Transformed complex onboarding process, reduced questions by 25%, cut time from 4 to 1 day"
1,Tell me about a time when you faced a challenge and overcame it.,2,PNC Trade Finance,5,"Built custom CRM system to solve visibility issues, transformed underperforming team"
1,Tell me about a time when you faced a challenge and overcame it.,3,Global Pay STP rates,4,Tackled complex payment processing issues to improve straight-through processing rates
2,Tell me about a time when you weren't able to reach a deadline.,1,Ripple pilot,3,Technically missed quarterly deadline but still achieved strategic goal of beating competitors
3,Describe a major change that occurred in a job that you held. How did you adapt to this change?,1,Global Pay Roles,5,Adapted to multiple role changes within same program based on evolving needs
3,Describe a major change that occurred in a job that you held. How did you adapt to this change?,2,The Amazon experience,4,Adapted to department shutdown and project cancellations during tech industry downturn
4,Tell me about a time when you had to deal with changing priorities.,1,Global Pay Roles,5,"Successfully managed multiple priority shifts between UX, STP rates, and strategic work"
4,Tell me about a time when you had to deal with changing priorities.,2,Global Pay STP rates,4,Shifted from preferred UX role to critical STP work based on program needs
5,Tell me about a time when you had to make a decision quickly or with insufficient data.,1,Ripple pilot,5,Made quick partner selection decisions under tight timeline constraints
5,Tell me about a time when you had to make a decision quickly or with insufficient data.,2,Global Pay Research,4,Balanced speed vs quality in research decisions while teams waited for direction
6,Tell me about a time when you used a lot of data in a short period of time.,1,Global Pay Roadmap,5,"Analyzed extensive customer data, created segmentation, and integrated research across continents"
6,Tell me about a time when you used a lot of data in a short period of time.,2,Global Pay STP rates,4,Analyzed large volumes of payment failure data to improve processing rates
7,Tell me about a time when you handled a risky situation.,1,Ripple pilot,5,Managed high-stakes blockchain pilot with aggressive timeline and new technology
7,Tell me about a time when you handled a risky situation.,2,PNC Canada risk review,4,Navigated complex stakeholder situation with risk committee approval
8,Describe a decision you made that wasn't popular. How did you handle implementing it?,1,GBAC Vision,5,"Pushed back on executive's preference for off-the-shelf solution, built support for custom platform"
8,Describe a decision you made that wasn't popular. How did you handle implementing it?,2,Global Pay Research,4,"Challenged manager's view on research approach, proposed and implemented compromise"
9,Describe a time when you had to motivate employees or coworkers.,1,Global Pay STP rates,5,Mentored analyst into product role while delivering critical technical improvements
9,Describe a time when you had to motivate employees or coworkers.,2,OLAF Scope,4,Led cross-functional team to question requirements and find improvement opportunities
10,Tell me about a time when you showed initiative.,1,PNC Trade Finance,5,Went beyond marketing assignment to build custom CRM system
10,Tell me about a time when you showed initiative.,2,Statements Hub,5,Transformed basic API request into company-wide strategic initiative
11,Tell me about a time when you had to give a presentation to people who disagreed with you.,1,PNC Canada risk review,5,Handled challenging risk committee presentation and subsequent stakeholder management
11,Tell me about a time when you had to give a presentation to people who disagreed with you.,2,GBAC Vision,4,Presented and defended vision to skeptical executive
12,Tell me about a time when you had to make an unpopular decision.,1,Global Pay STP rates,5,Left preferred UX role to focus on critical but less exciting STP work
12,Tell me about a time when you had to make an unpopular decision.,2,GBAC Vision,4,Challenged executive's preference for commercial solution
13,Tell me about a time when you had to sell another person or team on your idea.,1,OLAF Scope,5,Convinced stakeholders to expand scope for deeper process improvements
13,Tell me about a time when you had to sell another person or team on your idea.,2,GBAC Vision,5,Built support for custom platform vision through systematic approach
14,Tell me about a time when you've built a team.,1,OLAF Scope,4,Assembled and led cross-functional team to transform onboarding process
14,Tell me about a time when you've built a team.,2,Global Pay Roles,4,Created and established UX team working across domains
15,Tell me about a time when you made a mistake.,1,PNC Canada risk review,5,Failed to translate Canadian banking terms for US risk committee
15,Tell me about a time when you made a mistake.,2,GBAC Vision,4,Initially failed to build trust with executive before presenting vision
16,Tell me about a time when you failed.,1,PNC Canada risk review,5,Initial risk committee presentation was a complete failure
17,Tell me about a time when you improperly analyzed a situation.,1,PNC Canada risk review,5,Misjudged need to translate Canadian banking concepts for US audience
18,Tell me about a time when you were disappointed with yourself.,1,PNC Canada risk review,5,Reflects on naivety in risk committee presentation approach
19,Tell me about a time when you were unable to juggle all your responsibilities.,1,Global Pay STP rates,5,Recognized inability to handle both UX and STP roles effectively
20,Tell me about something you're proud of accomplishing.,1,PNC Trade Finance,5,Created system that transformed team and was used for 15 years
20,Tell me about something you're proud of accomplishing.,2,OLAF Scope,5,Reduced onboarding time by 75% and eliminated paper applications
20,Tell me about something you're proud of accomplishing.,3,Global Pay Roadmap,4,Created roadmap methodology that became organizational best practice
20,Tell me about something you're proud of accomplishing.,4,Ripple pilot,4,Led first blockchain payment pilot among major card networks
21,Tell me about a time when you reached a goal that was important.,1,OLAF Scope,5,Successfully transformed onboarding process despite initial stakeholder skepticism
21,Tell me about a time when you reached a goal that was important.,2,Ripple pilot,5,Achieved strategic goal of launching first blockchain pilot among payment networks
22,Tell me a specific insight you gained from something outside of work.,1,The 2014 sabbatical,5,Learned importance of brand trust in fintech adoption through European research
22,Tell me a specific insight you gained from something outside of work.,2,The 2023 sabbatical,5,Gained deep insights into AI's impact on product development and user experience
23,Tell me about a time when you went above and beyond the call of duty.,1,PNC Trade Finance,5,Volunteered to build custom CRM system outside normal PM role
23,Tell me about a time when you went above and beyond the call of duty.,2,Global Pay STP rates,4,Took on additional analysis work while training replacement
24,Describe a time when you resolved a situation before it became serious.,1,Statements Hub,5,Prevented implementation of unsuitable API solution through proactive analysis
