ID,Question,Category,Source,Original number,Story count,short version
1,Tell me about a time when you faced a challenge and overcame it.,Behavioral: Challenges,Cracking the PM Interview,1,3,Tell me about a time when you faced a challenge and overcame it.
2,Tell me about a time when you weren't able to reach a deadline.,Behavioral: Challenges,Cracking the PM Interview,2,1,Tell me about a time when you weren't able to reach a deadline.
3,Describe a major change that occurred in a job that you held. How did you adapt to this change?,Behavioral: Challenges,Cracking the PM Interview,3,2,Describe a major change that occurred in a job that you held. How did you adapt to this change?
4,Tell me about a time when you had to deal with changing priorities. How did you handle it?,Behavioral: Challenges,Cracking the PM Interview,4,2,Tell me about a time when you had to deal with changing priorities.
5,Tell me about a time when you had to make a decision quickly or with insufficient data.,Behavioral: Challenges,Cracking the PM Interview,5,2,Tell me about a time when you had to make a decision quickly or with insufficient data.
6,Tell me about a time when you used a lot of data in a short period of time.,Behavioral: Challenges,Cracking the PM Interview,6,2,Tell me about a time when you used a lot of data in a short period of time.
7,Tell me about a time when you handled a risky situation.,Behavioral: Challenges,Cracking the PM Interview,7,2,Tell me about a time when you handled a risky situation.
8,Describe a decision you made that wasn't popular. How did you handle implementing it?,Behavioral: Leadership/influence,Cracking the PM Interview,1,2,Describe a decision you made that wasn't popular. How did you handle implementing it?
9,Describe a time when you had to motivate employees or coworkers.,Behavioral: Leadership/influence,Cracking the PM Interview,2,2,Describe a time when you had to motivate employees or coworkers.
10,Tell me about a time when you showed initiative.,Behavioral: Leadership/influence,Cracking the PM Interview,3,2,Tell me about a time when you showed initiative.
11,Tell me about a time when you had to give a presentation to people who disagreed with you.,Behavioral: Leadership/influence,Cracking the PM Interview,4,2,Tell me about a time when you had to give a presentation to people who disagreed with you.
12,Tell me about a time when you had to make an unpopular decision.,Behavioral: Leadership/influence,Cracking the PM Interview,5,2,Tell me about a time when you had to make an unpopular decision.
13,Tell me about a time when you had to sell another person or team on your idea.,Behavioral: Leadership/influence,Cracking the PM Interview,6,2,Tell me about a time when you had to sell another person or team on your idea.
14,Tell me about a time when you've built a team.,Behavioral: Leadership/influence,Cracking the PM Interview,7,2,Tell me about a time when you've built a team.
15,Tell me about a time when you made a mistake.,Behavioral: Mistakes/failures,Cracking the PM Interview,1,2,Tell me about a time when you made a mistake.
16,Tell me about a time when you failed.,Behavioral: Mistakes/failures,Cracking the PM Interview,2,1,Tell me about a time when you failed.
17,Tell me about a time when you improperly analyzed a situation.,Behavioral: Mistakes/failures,Cracking the PM Interview,3,1,Tell me about a time when you improperly analyzed a situation.
18,Tell me about a time when you were disappointed with yourself.,Behavioral: Mistakes/failures,Cracking the PM Interview,4,1,Tell me about a time when you were disappointed with yourself.
19,Tell me about a time when you were unable to juggle all your responsibilities.,Behavioral: Mistakes/failures,Cracking the PM Interview,5,1,Tell me about a time when you were unable to juggle all your responsibilities.
20,Tell me about something you're proud of accomplishing.,Behavioral: Success,Cracking the PM Interview,1,4,Tell me about something you're proud of accomplishing.
21,Tell me about a time when you reached a goal that was important.,Behavioral: Success,Cracking the PM Interview,2,2,Tell me about a time when you reached a goal that was important.
22,Tell me a specific insight you gained from something outside of work.,Behavioral: Success,Cracking the PM Interview,3,2,Tell me a specific insight you gained from something outside of work.
23,Tell me about a time when you went above and beyond the call of duty.,Behavioral: Success,Cracking the PM Interview,4,2,Tell me about a time when you went above and beyond the call of duty.
24,Describe a time when you resolved a situation before it became serious.,Behavioral: Success,Cracking the PM Interview,5,2,Describe a time when you resolved a situation before it became serious.
25,Tell me about a time when you had to show innovation.,Behavioral: Success,Cracking the PM Interview,6,2,Tell me about a time when you had to show innovation.
26,Tell me about a time when you solved a problem in a creative way.,Behavioral: Success,Cracking the PM Interview,7,2,Tell me about a time when you solved a problem in a creative way.
27,Tell me about a time when you had to work across teams to accomplish something.,Behavioral: Teamwork,Cracking the PM Interview,1,2,Tell me about a time when you had to work across teams to accomplish something.
28,Tell me about a time when you had a disagreement at work.,Behavioral: Teamwork,Cracking the PM Interview,2,2,Tell me about a time when you had a disagreement at work.
29,Tell me about a time when you mentored or aided a coworker.,Behavioral: Teamwork,Cracking the PM Interview,3,1,Tell me about a time when you mentored or aided a coworker.
30,Tell me about a time when you had to do something you didn't want to do.,Behavioral: Teamwork,Cracking the PM Interview,4,2,Tell me about a time when you had to do something you didn't want to do.
31,Tell me about a time when you had to compromise.,Behavioral: Teamwork,Cracking the PM Interview,5,2,Tell me about a time when you had to compromise.
32,Tell me about a time when you had to resolve a conflict.,Behavioral: Teamwork,Cracking the PM Interview,6,2,Tell me about a time when you had to resolve a conflict.
33,Tell me about a time when you had a challenging interaction with a coworker.,Behavioral: Teamwork,Cracking the PM Interview,7,2,Tell me about a time when you had a challenging interaction with a coworker.
34,Tell me about a time when you didn't have enough data to make the right decision. What did you do? What path did you take?,LP: Are Right A Lot,Amazon,1,2,Tell me about a time when you didn't have enough data to make the right decision.
35,Tell me about a strategic decision you had to make without clear data or benchmarks. How did you make your final decision?,LP: Are Right A Lot,Amazon,2,2,Tell me about a strategic decision you had to make without clear data or benchmarks.
36,Tell me about a time when you made a difficult decision with input from many different sources. What was the situation and how did you arrive at your decision?,LP: Are Right A Lot,Amazon,3,2,Tell me about a time when you made a difficult decision with input from many different sources.
37,Tell me about a time when you made a bad decision. What was the impact of that decision? What did you learn?,LP: Are Right A Lot,Amazon,4,2,Tell me about a time when you made a bad decision.
38,Tell me about a time when you made an error in judgment. What was the impact? What did you learn?,LP: Are Right A Lot,Amazon,5,1,Tell me about a time when you made an error in judgment.
39,Tell me about a time when you discovered that your idea was not the best course of action. What was your idea?,LP: Are Right A Lot,Amazon,6,2,Tell me about a time when you discovered that your idea was not the best course of action.
40,Describe a time when you brought different perspectives together to solve a problem. What types of different perspectives were represented?,LP: Are Right A Lot,Amazon,7,2,Tell me about a time when you brought different perspectives together to solve a problem.
41,Tell me about a time you made a mistake. What led to the mistake and what decisions did you make to recover from it?,LP: Are Right A Lot,Day One Careers,8,2,Tell me about a time you made a mistake.
42,Talk me through a poor decision you made. What was it and what was the impact of it?,LP: Are Right A Lot,Day One Careers,9,1,Talk me through a poor decision you made.
43,"Tell me about a time when you made a good decision, only because you had learned from an earlier bad one.",LP: Are Right A Lot,Day One Careers,10,2,"Tell me about a time when you made a good decision, only because you had learned from an earlier bad one."
44,Give me an example of a significant failure at work. What did you learn from this situation?,LP: Are Right A Lot,Day One Careers,11,1,Give me an example of a significant failure at work.
45,Give me an example of when you didn't have any data but you still had to make a decision.,LP: Are Right A Lot,Day One Careers,12,2,Give me an example of when you didn't have any data but you still had to make a decision.
46,Tell me about a business model decision or key technology decision where there was not enough data or benchmarks.,LP: Are Right A Lot,Day One Careers,13,2,Tell me about a business model decision or key technology decision where there was not enough data or benchmarks.
47,Give me an example of a decision you made where you didn't have personal expertise or data to guide you.,LP: Are Right A Lot,Day One Careers,14,1,Give me an example of a decision you made where you didn't have personal expertise or data to guide you.
48,Tell me about a time you made a mistake.,LP: Are Right A Lot,Genie 2021,15,2,Tell me about a time you made a mistake.
49,Tell me about an error in judgment you made in the last year or two. What was it and what was the impact of it?,LP: Are Right A Lot,Genie 2021,16,1,Tell me about an error in judgment you made in the last year or two.
50,Tell me about a time when you made a bad decision and the learning enabled you to make a good decision later.,LP: Are Right A Lot,Genie 2021,17,2,Tell me about a time when you made a bad decision and the learning enabled you to make a good decision later.
51,Give me an example of a significant professional failure. What did you learn from this situation?,LP: Are Right A Lot,Genie 2021,18,1,Give me an example of a significant professional failure.
